Local Government Area,2014,2015,2016,2017,2018,2019,2020
ALPINE,196.369494292,209.749579108,137.073868456,111.802370573,111.57309030900001,117.807568472,130.228282519
BENALLA,187.491939594,180.253180029,200.82244184500001,212.08754890199998,220.485710251,143.53979579499997,102.184797469
Ballarat,296.25477910999996,158.65351452,139.130434783,124.110619511,103.152181994,68.32281162,53.741770791
Banyule,59.948683927,42.827231774999994,37.662714698,38.862117208,37.795518531,19.141393647,13.814910894
Bass Coast,203.653225554,165.76620825199998,110.56657901000001,123.748129389,94.227198404,77.45726495699999,79.589216945
Baw Baw,184.375267987,131.697221816,62.885426809,102.195232199,55.293915763,37.004829131,43.047010923
Bayside,73.148491438,64.18611999800001,72.877798507,71.383784305,51.613889871,38.048854729,22.853225161
Boroondara,55.021429399,50.929025539,45.127372007,41.981528127000004,29.545226495,26.16008861,12.930428672
Brimbank,77.090513332,72.68744398999999,69.05333268,63.07128025,70.056093189,69.642261245,52.885957309
CAMPASPE,494.941895588,303.587700838,200.109314565,173.343648321,119.84287387,142.334915395,117.339583797
CENTRAL GOLDFIELDS,260.977107876,241.129285079,222.60466176,117.609739934,176.059399466,140.91522781700002,82.694717384
COLAC-OTWAY,342.615601794,176.743637325,253.749920393,168.029126171,117.715491979,94.048628483,128.09178701
Cardinia,96.514136482,84.508873431,68.666536849,48.895929902,69.194445743,51.784789557,37.766619458
Casey,56.956903767,51.080366443,44.438902901999995,35.082752211000006,36.676950016,34.942586206,22.804077259
Darebin,74.242029014,81.592904049,65.108363524,53.026673055,52.195056746,38.779895485,36.292787286
East Gippsland,320.708268402,291.967549256,203.94736842100002,216.361236721,168.51176382699998,155.90763526100002,98.17437439999999
Frankston,356.143661744,280.86218158099996,194.262447851,199.856331036,158.26921310499998,135.239839403,92.83287971799999
GLENELG,502.06073306,270.277084113,168.949568028,206.44374370100002,189.278862527,145.504532256,148.192978216
GREATER GEELONG,201.10299283400002,205.393822678,157.29971012599998,173.5433156,235.061703502,150.883322725,69.163571848
Glen Eira,85.598563615,84.975740797,108.356945277,82.28158882999999,78.745841235,64.312441534,35.562797434
Greater Bendigo,323.282849336,234.741784037,178.14673947,161.02918653999998,207.426023789,141.269223611,155.887894096
Greater Dandenong,320.767739179,317.824440444,320.80488322400004,292.774545187,303.829709815,226.102852745,137.641263402
Greater Shepparton,272.21952783999996,206.236722541,190.558150971,253.2029414,255.88842666,140.256595751,157.724099658
Hobsons Bay,103.962750368,69.812596811,57.788003639,76.155823276,64.109301104,52.182262205,35.716911958
Horsham,308.8920397,237.469684721,276.60430496799995,170.195725084,209.33014354000002,168.316831683,73.583517292
Hume,66.395508108,55.001614726,59.891519071000005,56.87887574,54.09575836,40.361983261,28.730560697
Kingston,141.36567019,128.644939966,103.182942098,82.427875609,94.628444198,79.66760225,47.7952891
Knox,76.222417013,84.436042848,56.749795763,36.526853428,47.396573905,42.251451245,22.665735534
Latrobe,341.27390940799995,352.78593165200004,305.539921203,253.036437247,234.170349006,164.212241037,130.354302996
MITCHELL,403.605732956,188.876505956,273.64348846999997,168.774892921,264.895123322,138.164659667,125.695501166
MOORABOOL,113.551202759,69.517549831,34.307521122,60.655139682,36.175574006,85.372398067,35.308500326
Macedon Ranges,41.784873876,49.597826321,29.486099410999998,49.571413818,34.481359783,27.909572983,25.543286046
Manningham,11.721660792,20.697934346,14.685485845,16.918292703,15.188942449999999,16.551985056,12.50126966
Maribyrnong,278.91296702799997,166.306924737,136.872857767,154.33499773,156.40647680400002,101.721439749,68.218926838
Maroondah,125.649563367,131.831574104,108.885017421,128.201818917,115.261472786,108.50676048,104.82268904
Melbourne,1885.524516507,1413.7296159920002,1157.4581097359999,1139.423940085,1115.307627798,907.950187035,389.825838712
Melton,52.587213574,33.35433421,27.577428935,22.863137226,21.653430476,27.788685172999998,19.012940322
Merri-bek,78.61108233399999,53.612914755,62.103149268,69.670492834,70.914401815,45.168881428000006,26.662222962999998
Mildura,545.248153042,419.159465248,536.060594972,524.958057475,382.875663354,280.10711014,176.15766983499998
Monash,66.612946549,49.689703658999996,57.10577547,51.107499515,74.238674815,42.050039547,31.873938573
Moonee Valley,100.201251666,84.004957124,76.50299908000001,88.48062676400001,107.58086495,65.661440122,20.506996041
Mornington Peninsula,208.306709265,221.61920531899997,266.20771630900003,293.56591224699997,191.517975072,133.45670664399998,100.478300213
NORTHERN GRAMPIANS,583.772310876,300.583991755,360.56094044,162.570882993,170.291301031,110.288472985,109.560608248
Port Phillip,477.73597189000003,384.467151089,285.380246163,314.089278051,281.75882528299996,200.39004491,113.95083835300001
South Gippsland,21.037130535,34.745144366,37.772131035,51.088178195,37.157140927,10.025732714,19.820295983
Stonnington,362.626777721,255.489317584,212.60686648100003,217.596803824,270.866419622,174.868189806,126.09892549499999
Surf Coast,96.973055344,77.637130802,39.389463319,44.366978292,82.44274809199999,67.22590828,36.285483016
Swan Hill,382.043935053,363.758196526,339.777947933,270.539655418,145.951035781,210.211613024,93.027582679
WHITTLESEA,36.028567704,46.971977697,38.609770845,33.712668264,52.441792406,29.430777839999998,26.464463634
