Local Government Area,2014,2015,2016,2017,2018,2019,2020
ALPINE,30,37,29,26,45,37,30
BENALLA,201,187,173,184,153,241,250
Ballarat,431,369,384,289,341,341,315
Banyule,275,364,373,311,425,515,702
Bass Coast,104,167,92,95,103,102,102
Baw Baw,195,261,311,181,254,304,401
Bayside,271,244,204,188,223,175,276
Boroondara,272,256,339,259,265,279,225
Brimbank,817,1114,1080,924,968,950,1212
CAMPASPE,107,153,145,125,138,156,197
CENTRAL GOLDFIELDS,67,103,78,91,120,118,155
COLAC-OTWAY,52,101,164,120,92,99,165
Cardinia,312,368,295,354,291,318,384
Casey,747,955,995,888,1088,1241,1681
Darebin,445,645,751,494,593,518,1174
East Gippsland,146,191,217,148,205,228,327
Frankston,831,795,965,806,880,869,1100
GLENELG,130,170,163,208,246,232,189
GREATER GEELONG,522,611,776,843,821,1046,1285
Glen Eira,247,394,353,311,317,332,326
Greater Bendigo,388,363,376,371,411,402,516
Greater Dandenong,861,1001,1149,1179,1230,1193,1305
Greater Shepparton,310,364,396,368,516,468,456
Hobsons Bay,239,224,248,166,251,375,308
Horsham,186,167,157,155,139,139,121
Hume,618,963,1088,879,1080,1150,1321
Kingston,551,643,564,480,517,635,651
Knox,506,526,718,935,941,903,1091
Latrobe,537,653,500,493,583,561,930
MITCHELL,173,198,292,315,336,291,421
MOORABOOL,76,115,94,74,104,98,182
Macedon Ranges,134,133,160,101,105,113,201
Manningham,191,137,164,176,210,199,192
Maribyrnong,378,426,469,311,374,390,460
Maroondah,258,392,513,337,385,391,585
Melbourne,1629,1662,1682,1938,2209,2491,2754
Melton,331,392,468,340,369,510,655
Merri-bek,375,453,524,432,614,639,700
Mildura,337,345,251,349,371,411,555
Monash,382,390,415,418,365,598,685
Moonee Valley,387,647,437,416,379,496,478
Mornington Peninsula,363,520,513,508,617,639,793
NORTHERN GRAMPIANS,111,124,250,251,208,149,255
Port Phillip,631,774,624,653,745,744,823
South Gippsland,43,38,62,64,53,39,48
Stonnington,376,484,507,642,611,629,714
Surf Coast,45,43,33,36,32,33,36
Swan Hill,86,163,106,88,125,127,186
WHITTLESEA,526,705,782,584,765,832,1250
Wangaratta,155,117,153,158,204,174,167
Warrnambool,187,228,233,258,287,206,220
Wellington,133,150,252,138,182,156,218
Whitehorse,212,276,251,280,346,328,396
Wodonga,114,108,167,161,231,190,217
Wyndham,342,434,532,531,651,611,725
Yarra,867,756,698,636,600,738,959
Yarra Ranges,319,403,560,391,450,494,559
