Local Government Area,2014,2015,2016,2017,2018,2019,2020
ALPINE,277.308385429,349.333422834,325.045483961,222.15154689500002,385.336677995,337.92363536,255.455520877
BENALLA,1067.6443692090002,901.6053959820001,862.432404399,1042.250581487,791.516282166,1222.316603531,1384.1692929810001
Ballarat,431.370979042,363.62203017400003,371.014492754,273.801290371,316.89093747699997,310.64105016800005,282.144296655
Banyule,219.81184106400002,288.687266036,292.670678792,241.72236903499999,327.818272977,394.31270911999997,538.78152486
Bass Coast,325.845160886,512.647347741,274.922304566,273.397030045,285.452983399,272.435897436,261.874197689
Baw Baw,418.060200669,545.602776094,630.88283025,355.718019771,484.29843460999996,562.473402779,719.243807508
Bayside,271.551249035,240.94481968600002,198.22761194,181.353397964,213.146248912,166.46373944100003,262.812089355
Boroondara,157.535039963,146.492477955,191.227238882,144.976210467,147.726132474,155.290738772,126.493323964
Brimbank,411.653264002,554.615154834,528.919143935,448.291253469,467.684815221,459.445473495,593.49796536
CAMPASPE,470.57182350799997,613.3602323509999,596.597952611,480.001998678,540.4006000219999,628.193232328,965.4459747210001
CENTRAL GOLDFIELDS,435.192583211,672.9076025659999,487.797736322,591.256138103,795.783561275,734.291807045,974.9689197880001
COLAC-OTWAY,273.83529926200004,515.906620554,813.452323765,643.390737411,479.98652140800004,475.58183995,776.863672233
Cardinia,354.263653911,398.708531062,302.337736873,346.183183712,272.10248258400003,283.923501366,329.59958800100003
Casey,259.431750696,318.83496701400003,318.105815741,273.276175118,321.81065820299995,352.55080879400003,461.85125147599996
Darebin,297.63696316700003,424.414702515,484.122584222,315.604536017,377.459373787,329.31124362699995,747.504074979
East Gippsland,329.74230413,425.69314433499994,475.87719298300004,320.21463034699997,437.277361831,480.364065397,683.042987843
Frankston,610.21728435,576.9649466579999,691.746354891,573.2533908,621.771908628,612.10114813,773.607330984
GLENELG,719.098093447,923.409579518,941.356683017,1196.022145743,1412.2273209,1274.1505198969999,1047.4756759880001
GREATER GEELONG,262.435665256,295.98053262,425.14070029500004,342.14884083299995,324.28162338299995,468.603737103,578.820202185
Glen Eira,171.89305051,270.003563499,237.577650202,206.367533278,208.02026393,215.674046357,210.790399338
Greater Bendigo,359.40901301400004,330.27623103,334.915870203,324.683848948,353.74313600600004,340.061244862,430.15055269299995
Greater Dandenong,565.94472015,641.41585662,717.12998215,723.6502909330001,745.9292276900001,717.395487565,787.815126051
Greater Shepparton,484.988813968,564.437345904,608.5566756830001,557.956182246,772.154550624,690.948282225,665.946198557
Hobsons Bay,264.330822744,244.34408883700002,265.396757451,175.581481442,263.794009458,391.366966541,323.55320244199993
Horsham,941.86753089,843.7752627320001,789.579561457,775.8922761169999,692.783094099,688.118811881,593.573706157
Hume,323.089952844,485.931697077,525.499780237,406.475868096,478.880483847,488.592428941,542.186724019
Kingston,357.304973737,411.535802975,354.848654533,299.73772948600003,319.75755326599995,389.14559560699996,398.906835951
Knox,321.40452507000003,331.442974165,447.762124812,578.857761956,579.2230655120001,552.94290543,668.3329045219999
Latrobe,724.3639895329999,879.271806749,670.043686849,656.5629661199999,771.306855768,736.9845377749999,1212.295017858
MITCHELL,757.745124702,626.319331707,1080.754674874,1193.552328609,1113.1260664010001,970.587224161,1293.83144803
MOORABOOL,288.410489731,463.37706819699997,321.513119814,291.011220439,357.900118144,331.858512433,540.426871107
Macedon Ranges,294.69332101699996,286.80482177100004,336.98399326,208.613033151,212.97310453900002,225.270124796,394.938499626
Manningham,159.916943661,113.42468021699999,133.801093253,141.791405508,167.877784973,156.849763149,150.015235923
Maribyrnong,458.387397984,502.459219419,539.4400864950001,352.927825692,420.834692982,435.949027498,514.437808943
Maroondah,231.554195349,346.832060731,446.864111498,289.95981862499997,328.70864461,331.45424490299996,494.526395875
Melbourne,1272.904864231,1214.2731895489999,1151.297776804,1242.6581856420003,1352.2033753050002,1474.383256783,1614.406556108
Melton,255.97599548300002,290.553311345,330.92914722,228.63137226,235.003407231,308.091944301,377.378057914
Merri-bek,228.520588181,269.851670936,304.131310434,246.702072983,345.567005667,356.332286828,388.82408487500004
Mildura,627.1284217580001,637.0485264790001,459.219144498,629.588873054,660.683121416,724.050454514,967.995116421
Monash,205.210851464,206.15940879800002,215.444516548,213.629347971,184.33412453900002,299.356233919,341.15074878900003
Moonee Valley,328.62613894000003,538.130764944,355.657559555,334.617643037,302.023317157,392.386437352,377.0132349
Mornington Peninsula,231.948881789,327.392007858,317.59199643399995,309.401417886,370.428183762,379.017046871,465.960772331
NORTHERN GRAMPIANS,947.934408543,1064.926142218,2144.019062526,2150.03007882,1773.0465779770002,1265.086266892,2150.222624614
Port Phillip,604.111018563,727.573532868,574.442818084,596.221798161,672.789502677,665.58122059,744.297936224
South Gippsland,150.766102171,132.031548591,212.897465834,217.976226967,179.029860829,130.334525281,158.562367865
Stonnington,355.072053186,448.031991706,456.744412313,572.5292953080001,539.085936121,552.724077328,634.046709883
Surf Coast,155.849553232,145.147679325,108.321024126,114.086515608,97.709923664,96.454564054,100.48287604299999
Swan Hill,410.697230181,780.165605705,507.27411944899995,417.67525748699995,588.512241055,593.2638856450001,865.1565189080001
WHITTLESEA,337.372239452,445.26841191200003,469.07305206499996,365.759303471,475.020309872,476.698159126,679.01971855
Wangaratta,556.313258202,415.73393028500004,535.114717403,545.749715035,696.983156241,591.052685213,565.7756547070001
Warrnambool,554.4190459250001,670.489633877,680.450908241,747.392815759,824.167934986,586.827711941,621.153086001
Wellington,309.67681847800003,347.447419624,578.911095796,314.551422319,411.4575091,349.180768198,483.316705465
Whitehorse,129.016553068,165.587746507,147.959514504,162.43560588399998,198.359236603,186.509877063,223.98950190699998
Wodonga,297.11485834900003,275.34864747700004,416.458852868,394.250312217,556.07712862,451.477996388,508.60169690199996
Wyndham,169.71693993399998,202.979211001,234.352974345,219.809332996,253.297537061,223.644862208,252.356487477
Yarra,993.946897786,840.719282053,751.394062049,672.994508111,628.2459373429999,764.4182963200001,992.116860814
Yarra Ranges,209.91261318199997,262.727278654,360.764304948,249.527747996,285.136770604,311.19090365100004,351.846723231
